G0,10,6,1,758,normal,single
G1,1,9,4,755,normal,single
G2,4,2,4,325,choosy,single
G3,4,6,2,330,normal,single
G4,5,3,3,505,choosy,single
G5,4,9,4,370,Desperate,single
G6,1,1,2,446,Desperate,single
G7,2,8,4,316,Desperate,single
G8,3,4,3,601,normal,single
G9,4,4,1,703,normal,single
G10,9,7,2,551,normal,single
G11,9,4,2,405,choosy,single
G12,3,3,3,475,normal,single
G13,10,8,1,141,choosy,single
G14,3,3,2,700,normal,single
G15,8,4,1,689,Desperate,single
G16,3,7,3,809,normal,single
G17,6,2,1,712,choosy,single
G18,9,2,4,732,Desperate,single
G19,6,3,1,152,normal,single
G20,3,9,2,300,Desperate,single
G21,3,2,1,166,Desperate,single
G22,9,4,4,202,choosy,single
G23,7,6,4,387,normal,single
G24,9,3,3,774,normal,single
G25,7,5,1,283,Desperate,single
G26,2,9,3,189,Desperate,single
G27,2,9,4,732,Desperate,single
G28,2,6,2,174,choosy,single
G29,9,2,4,265,choosy,single
G30,6,6,3,104,Desperate,single
G31,10,6,3,194,normal,single
G32,8,10,3,741,Desperate,single
G33,1,4,2,370,Desperate,single
G34,6,6,4,196,Desperate,single
G35,9,8,2,745,Desperate,single
G36,7,1,1,630,Desperate,single
G37,1,10,1,427,normal,single
G38,6,2,1,730,choosy,single
G39,9,10,2,826,normal,single
G40,10,6,4,812,choosy,single
G41,2,3,4,238,normal,single
G42,8,8,2,269,normal,single
G43,8,10,2,219,choosy,single
G44,4,9,2,300,choosy,single
G45,4,4,1,172,choosy,single
G46,3,8,1,229,choosy,single
G47,7,6,2,109,choosy,single
G48,9,4,3,242,choosy,single
G49,8,1,3,765,choosy,single
