1,31,Luxury,9,3
1,91,Essential
1,119,Utility,7,GOOD
1,14,Luxury,1,5
3,89,Luxury,1,10
6,77,Luxury,3,10
7,74,Luxury,2,10
8,101,Utility,2,GOOD
13,101,Utility,4,average
13,80,Utility,7,average
16,67,Utility,7,GOOD
17,83,Luxury,8,2
17,61,Luxury,8,8
18,110,Utility,0,GOOD
20,85,Utility,7,GOOD
21,26,Essential
22,80,Utility,6,average
23,39,Essential
28,75,Utility,8,GOOD
29,109,Utility,0,GOOD
29,1,Essential
30,88,Luxury,10,10
32,111,Luxury,9,3
33,7,Essential
33,20,Essential
33,61,Utility,5,average
33,2,Luxury,10,5
34,79,Luxury,9,1
35,10,Utility,5,average
35,100,Essential
35,97,Essential
35,86,Essential
37,87,Essential
37,93,Essential
38,47,Essential
39,6,Essential
41,71,Luxury,8,5
42,31,Utility,3,average
43,44,Essential
44,97,Luxury,4,10
47,85,Essential
50,70,Utility,2,average
50,16,Utility,1,GOOD
57,62,Utility,2,GOOD
57,93,Luxury,9,2
58,78,Essential
58,117,Luxury,10,4
59,34,Luxury,1,8
59,11,Luxury,5,9
64,65,Utility,0,GOOD
66,105,Utility,1,average
67,102,Luxury,8,6
68,20,Luxury,5,1
68,2,Luxury,9,10
72,32,Utility,9,average
72,44,Essential
73,30,Luxury,10,2
73,70,Utility,1,average
77,4,Utility,0,GOOD
78,53,Utility,0,GOOD
84,57,Essential
85,23,Essential
85,66,Luxury,1,5
85,103,Utility,4,average
86,80,Utility,9,GOOD
88,27,Essential
90,49,Utility,5,average
91,55,Essential
91,89,Luxury,1,2
92,1,Essential
93,99,Essential
97,86,Essential
99,45,Luxury,7,4
99,62,Utility,6,GOOD
101,64,Utility,4,average
101,45,Essential
104,42,Utility,9,average
104,35,Utility,7,average
108,75,Essential
111,2,Utility,7,average
111,13,Luxury,7,7
111,115,Luxury,5,7
114,44,Luxury,10,8
115,47,Essential
116,102,Luxury,2,10
119,91,Luxury,5,10
122,112,Essential
122,59,Utility,4,GOOD
123,53,Luxury,8,5
125,62,Luxury,2,8
127,80,Utility,4,GOOD
129,54,Essential
130,97,Utility,7,GOOD
132,73,Luxury,9,7
132,13,Essential
140,106,Utility,5,GOOD
146,92,Luxury,9,8
147,110,Essential
147,74,Luxury,9,5
147,81,Luxury,6,1
