B2,is boyfriend to,G0
B0,is boyfriend to,G2
B1,is boyfriend to,G3
B4,is boyfriend to,G5
B10,is boyfriend to,G6
B19,is boyfriend to,G7
B3,is boyfriend to,G11
B17,is boyfriend to,G12
B5,is boyfriend to,G13
B25,is boyfriend to,G14
B35,is boyfriend to,G17
B51,is boyfriend to,G18
B7,is boyfriend to,G19
B6,is boyfriend to,G24
B39,is boyfriend to,G26
B8,is boyfriend to,G27
B22,is boyfriend to,G29
B12,is boyfriend to,G35
B14,is boyfriend to,G39
B9,is boyfriend to,G40
B31,is boyfriend to,G45
B15,is boyfriend to,G46
B16,is boyfriend to,G48
