1,43,Utility,7,average
2,20,Essential
4,31,Luxury,5,3
6,50,Utility,3,GOOD
10,112,Utility,0,average
11,74,Utility,3,average
11,47,Luxury,10,9
13,68,Utility,3,GOOD
15,27,Essential
15,87,Utility,0,GOOD
18,100,Utility,6,GOOD
18,38,Essential
19,47,Essential
19,55,Utility,0,average
20,100,Utility,2,GOOD
24,3,Utility,9,GOOD
25,14,Essential
30,30,Utility,5,average
30,54,Utility,3,average
30,10,Utility,4,GOOD
32,68,Utility,8,average
32,61,Luxury,2,3
33,8,Utility,7,GOOD
34,97,Luxury,1,7
34,73,Essential
36,32,Utility,7,GOOD
39,82,Luxury,3,10
43,22,Utility,2,GOOD
46,16,Essential
49,83,Utility,1,GOOD
50,58,Utility,1,GOOD
51,76,Utility,5,average
52,105,Utility,9,GOOD
54,85,Luxury,10,7
56,59,Luxury,5,2
57,64,Luxury,10,2
58,83,Utility,9,average
60,117,Essential
61,62,Essential
64,83,Essential
66,21,Luxury,10,7
69,67,Luxury,7,8
70,63,Luxury,2,5
71,85,Luxury,9,8
72,42,Luxury,9,2
72,80,Utility,6,average
74,22,Luxury,5,3
74,99,Utility,7,GOOD
75,102,Utility,9,GOOD
76,84,Utility,7,GOOD
76,106,Utility,1,GOOD
76,6,Utility,5,average
76,103,Essential
77,22,Utility,2,average
81,115,Utility,4,average
85,46,Utility,1,GOOD
88,14,Luxury,9,8
93,64,Utility,4,GOOD
94,21,Essential
94,97,Utility,4,average
95,108,Luxury,1,10
96,5,Utility,9,average
99,109,Essential
100,112,Utility,6,average
101,53,Utility,0,average
102,50,Luxury,5,5
104,76,Essential
104,46,Utility,6,average
105,107,Utility,0,average
105,85,Essential
106,95,Utility,3,GOOD
110,11,Essential
113,23,Essential
114,52,Essential
115,76,Luxury,9,9
117,37,Utility,8,average
119,85,Luxury,10,7
120,54,Luxury,10,7
122,35,Essential
124,13,Luxury,5,1
124,15,Essential
126,120,Utility,3,GOOD
127,78,Luxury,6,9
128,74,Luxury,7,2
129,22,Utility,4,GOOD
130,51,Essential
131,34,Luxury,3,10
133,119,Essential
134,42,Utility,1,GOOD
134,115,Luxury,2,10
135,21,Luxury,3,4
136,83,Essential
138,4,Luxury,5,9
141,103,Utility,5,average
141,16,Essential
142,106,Essential
142,46,Essential
143,97,Essential
148,37,Essential
150,89,Utility,1,GOOD
