B0  is boyfriend of  G1
B1  is boyfriend of  G3
B2  is boyfriend of  G5
B29  is boyfriend of  G10
B3  is boyfriend of  G11
B17  is boyfriend of  G13
B31  is boyfriend of  G17
B4  is boyfriend of  G18
B6  is boyfriend of  G19
B32  is boyfriend of  G20
B5  is boyfriend of  G21
B7  is boyfriend of  G22
B8  is boyfriend of  G25
B13  is boyfriend of  G27
B46  is boyfriend of  G30
B15  is boyfriend of  G32
B21  is boyfriend of  G38
B23  is boyfriend of  G40
B22  is boyfriend of  G41
B25  is boyfriend of  G42
B57  is boyfriend of  G43
B58  is boyfriend of  G45
B69  is boyfriend of  G46
B26  is boyfriend of  G48
