G0,8,3,4,314,null,single
G1,1,8,4,120,null,single
G2,2,1,2,532,null,single
G3,7,1,1,116,null,single
G4,6,3,3,372,null,single
G5,2,8,3,511,null,single
G6,8,3,1,225,null,single
G7,3,1,3,146,null,single
G8,4,7,4,496,null,single
G9,4,1,4,172,null,single
G10,9,3,3,809,null,single
G11,10,10,2,424,null,single
G12,2,1,1,273,null,single
G13,10,2,2,449,null,single
G14,9,3,2,275,null,single
G15,9,9,3,411,null,single
G16,6,9,2,761,null,single
G17,10,3,2,673,null,single
G18,3,5,3,713,null,single
G19,2,8,1,813,null,single
G20,1,1,2,409,null,single
G21,2,4,1,402,null,single
G22,5,3,2,883,null,single
G23,2,2,1,818,null,single
G24,3,10,2,406,null,single
G25,6,5,4,130,null,single
G26,6,5,2,847,null,single
G27,8,5,1,704,null,single
G28,7,5,3,630,null,single
G29,10,10,3,356,null,single
G30,10,5,3,462,null,single
G31,7,10,1,450,null,single
G32,1,7,3,331,null,single
G33,3,1,1,599,null,single
G34,8,4,1,234,null,single
G35,4,7,1,234,null,single
G36,7,8,4,727,null,single
G37,10,8,3,131,null,single
G38,3,6,4,549,null,single
G39,4,10,2,225,null,single
G40,5,3,2,639,null,single
G41,6,10,2,257,null,single
G42,1,8,2,796,null,single
G43,2,2,3,763,null,single
G44,10,6,1,427,null,single
G45,10,7,1,214,null,single
G46,9,6,4,489,null,single
G47,2,7,1,555,null,single
G48,9,1,3,698,null,single
G49,9,7,3,762,null,single
