1,4,Luxury,9,5
1,3,Essential
1,2,Utility,0,GOOD
1,7,Utility,9,average
1,3,Essential
1,8,Utility,9,GOOD
1,2,Luxury,4,9
1,5,Luxury,2,7
1,1,Utility,9,GOOD
2,4,Luxury,10,1
2,8,Essential
2,2,Essential
2,5,Luxury,2,7
2,4,Utility,3,GOOD
2,8,Essential
2,1,Utility,2,average
2,7,Luxury,1,10
2,2,Essential
2,6,Luxury,2,7
2,3,Luxury,1,8
3,4,Essential
3,7,Utility,4,GOOD
3,2,Utility,8,GOOD
3,1,Luxury,2,7
3,8,Utility,9,average
3,4,Utility,6,GOOD
3,8,Utility,6,GOOD
3,5,Essential
3,5,Utility,3,GOOD
3,5,Luxury,5,4
4,5,Utility,7,GOOD
4,8,Luxury,2,4
4,5,Essential
4,5,Utility,6,average
4,5,Essential
4,2,Luxury,1,10
4,3,Utility,3,GOOD
4,3,Utility,2,average
4,6,Utility,5,GOOD
4,7,Utility,9,GOOD
4,6,Utility,6,average
5,5,Essential
5,8,Luxury,3,9
5,3,Essential
5,3,Utility,6,average
5,8,Essential
5,1,Luxury,9,10
5,8,Essential
5,3,Essential
5,1,Luxury,2,7
5,1,Utility,3,average
6,4,Essential
6,2,Essential
6,4,Luxury,10,3
6,8,Luxury,5,8
6,3,Utility,6,average
6,4,Luxury,10,4
6,7,Utility,4,average
6,3,Utility,7,GOOD
6,4,Utility,0,GOOD
7,5,Essential
7,1,Luxury,3,1
7,2,Luxury,4,10
7,8,Essential
7,7,Essential
7,8,Essential
7,8,Essential
7,3,Utility,9,GOOD
7,7,Utility,3,GOOD
7,3,Luxury,9,5
7,8,Luxury,6,9
7,3,Essential
8,3,Essential
8,2,Luxury,9,6
8,7,Essential
8,4,Essential
8,6,Essential
8,6,Luxury,8,7
8,7,Essential
8,6,Luxury,10,6
8,2,Luxury,10,10
8,3,Luxury,10,8
8,6,Utility,8,average
8,4,Luxury,4,7
9,3,Luxury,1,2
9,4,Essential
9,5,Essential
9,2,Utility,8,average
10,4,Luxury,4,6
10,6,Luxury,10,10
10,1,Luxury,1,8
10,5,Essential
10,4,Utility,5,GOOD
10,8,Essential
10,2,Essential
10,4,Utility,9,GOOD
10,4,Luxury,6,7
10,2,Utility,2,average
10,3,Utility,1,GOOD
10,3,Luxury,9,8
