B0,6,7,2,319,Geek,single
B1,8,8,4,209,Miser,single
B2,10,3,4,271,Generous,single
B3,10,1,2,113,Generous,single
B4,5,9,3,484,Miser,single
B5,5,4,3,471,Generous,single
B6,7,3,2,173,Generous,single
B7,3,3,4,290,Miser,single
B8,5,6,2,104,Generous,single
B9,8,3,4,238,Geek,single
B10,9,4,1,282,Geek,single
B11,9,2,2,453,Generous,single
B12,7,4,3,319,Geek,single
B13,5,7,1,491,Miser,single
B14,9,7,2,154,Generous,single
B15,3,3,4,110,Generous,single
B16,1,10,4,291,Geek,single
B17,6,9,4,432,Miser,single
B18,3,7,2,112,Geek,single
B19,8,8,3,425,Geek,single
B20,7,7,4,249,Miser,single
B21,1,10,4,453,Miser,single
B22,2,10,1,260,Generous,single
B23,5,3,3,334,Geek,single
B24,10,1,4,306,Geek,single
B25,3,3,3,319,Geek,single
B26,8,5,1,413,Generous,single
B27,10,7,4,173,Generous,single
B28,7,7,3,374,Miser,single
B29,3,6,3,331,Geek,single
B30,3,5,2,167,Miser,single
B31,2,10,4,450,Miser,single
B32,6,2,3,330,Miser,single
B33,9,5,2,322,Generous,single
B34,9,7,2,332,Geek,single
B35,7,8,2,144,Miser,single
B36,8,6,1,170,Miser,single
B37,9,1,3,485,Geek,single
B38,3,9,4,430,Geek,single
B39,2,10,1,392,Geek,single
B40,6,5,4,174,Miser,single
B41,4,7,2,400,Generous,single
B42,9,10,2,329,Generous,single
B43,5,7,4,114,Generous,single
B44,6,3,3,423,Miser,single
B45,3,9,1,410,Geek,single
B46,7,7,2,181,Miser,single
B47,5,2,3,129,Miser,single
B48,2,1,2,337,Miser,single
B49,4,7,1,194,Geek,single
B50,10,3,1,304,Miser,single
B51,9,5,1,370,Generous,single
B52,7,9,3,354,Geek,single
B53,9,10,1,99,Geek,single
B54,2,3,4,198,Geek,single
B55,4,4,3,283,Geek,single
B56,5,8,1,376,Miser,single
B57,5,5,4,335,Miser,single
B58,8,4,1,284,Generous,single
B59,10,4,1,111,Miser,single
B60,1,9,3,285,Miser,single
B61,5,9,1,326,Geek,single
B62,1,7,2,287,Geek,single
B63,4,7,4,103,Geek,single
B64,8,7,2,469,Geek,single
B65,1,6,4,302,Generous,single
B66,4,8,4,152,Geek,single
B67,8,9,3,297,Miser,single
B68,3,8,3,397,Generous,single
B69,6,1,3,491,Geek,single
