B0    is assinged to    G1
B1    is assinged to    G5
B2    is assinged to    G3
B3    is assinged to    G7
B4    is assinged to    G10
B5    is assinged to    G13
B6    is assinged to    G15
B7    is assinged to    G19
B8    is assinged to    G23
B9    is assinged to    G25
B10    is assinged to    G33
B11    is assinged to    G43
B12    is assinged to    G20
B13    is assinged to    G41
B14    is assinged to    G38
B15    is assinged to    G47
B17    is assinged to    G49
B21    is assinged to    G32
B23    is assinged to    G35
B28    is assinged to    G6
B29    is assinged to    G37
B36    is assinged to    G16
B50    is assinged to    G22
