1,7,Luxury,6,3
1,2,Essential
1,7,Essential
1,4,Luxury,7,3
1,6,Utility,0,average
1,8,Utility,5,GOOD
1,8,Utility,6,GOOD
1,3,Luxury,5,5
1,6,Essential
1,3,Luxury,6,1
1,3,Luxury,3,2
2,2,Utility,6,GOOD
2,6,Luxury,2,6
2,7,Utility,3,GOOD
2,2,Essential
2,7,Essential
2,5,Utility,7,average
2,7,Essential
2,7,Luxury,5,7
2,2,Essential
2,4,Luxury,7,9
3,1,Essential
3,7,Utility,4,average
3,7,Essential
3,5,Utility,1,average
3,8,Essential
3,8,Luxury,5,4
3,5,Essential
3,5,Essential
3,4,Utility,3,GOOD
3,5,Essential
3,1,Essential
4,8,Luxury,8,6
4,1,Luxury,2,3
4,5,Luxury,6,5
4,8,Utility,8,average
4,7,Luxury,8,2
4,4,Luxury,7,1
4,6,Essential
4,3,Utility,5,average
4,6,Essential
4,8,Luxury,4,1
5,4,Essential
5,5,Luxury,2,9
5,4,Luxury,10,10
5,1,Essential
5,7,Utility,8,GOOD
5,6,Essential
6,7,Utility,9,GOOD
6,5,Utility,4,GOOD
6,7,Utility,3,average
6,1,Essential
6,1,Essential
6,1,Essential
6,5,Luxury,2,1
6,7,Luxury,5,3
7,7,Essential
7,7,Luxury,9,9
7,8,Utility,4,average
7,3,Luxury,4,6
7,8,Essential
7,2,Essential
7,6,Luxury,1,10
7,1,Utility,7,average
7,7,Luxury,7,4
7,8,Essential
7,3,Essential
7,8,Luxury,3,3
7,5,Essential
8,8,Utility,0,GOOD
8,1,Luxury,6,8
8,2,Utility,7,average
8,1,Luxury,6,2
8,4,Utility,9,average
8,8,Essential
8,1,Essential
8,7,Utility,2,average
8,1,Luxury,6,10
8,4,Utility,6,GOOD
9,6,Luxury,2,3
9,7,Essential
9,2,Luxury,2,4
9,7,Essential
9,7,Essential
9,7,Essential
9,5,Utility,0,average
9,8,Utility,0,GOOD
9,7,Essential
9,5,Luxury,8,9
9,2,Utility,3,average
9,5,Utility,0,average
9,4,Luxury,2,2
9,7,Luxury,8,3
10,6,Essential
10,4,Utility,7,average
10,6,Utility,9,average
10,2,Essential
10,2,Luxury,10,8
10,4,Essential
10,4,Essential
